StartDate,EndDate,Future1,Future2,Future3,Future4
2015-04-16,2015-05-17,IC1505.CFFEX,IC1506.CFFEX,IC1509.CFFEX,IC1512.CFFEX
2015-05-18,2015-06-22,IC1506.CFFEX,IC1507.CFFEX,IC1509.CFFEX,IC1512.CFFEX
2015-06-23,2015-07-19,IC1507.CFFEX,IC1508.CFFEX,IC1509.CFFEX,IC1512.CFFEX
2015-07-20,2015-08-23,IC1508.CFFEX,IC1509.CFFEX,IC1512.CFFEX,IC1603.CFFEX
2015-08-24,2015-09-20,IC1509.CFFEX,IC1510.CFFEX,IC1512.CFFEX,IC1603.CFFEX
2015-09-21,2015-10-18,IC1510.CFFEX,IC1511.CFFEX,IC1512.CFFEX,IC1603.CFFEX
2015-10-19,2015-11-22,IC1511.CFFEX,IC1512.CFFEX,IC1603.CFFEX,IC1606.CFFEX
2015-11-23,2015-12-20,IC1512.CFFEX,IC1601.CFFEX,IC1603.CFFEX,IC1606.CFFEX
2015-12-21,2016-01-17,IC1601.CFFEX,IC1602.CFFEX,IC1603.CFFEX,IC1606.CFFEX
2016-01-18,2016-02-21,IC1602.CFFEX,IC1603.CFFEX,IC1606.CFFEX,IC1609.CFFEX
2016-02-22,2016-03-20,IC1603.CFFEX,IC1604.CFFEX,IC1606.CFFEX,IC1609.CFFEX
2016-03-21,2016-04-17,IC1604.CFFEX,IC1605.CFFEX,IC1606.CFFEX,IC1609.CFFEX
2016-04-18,2016-05-22,IC1605.CFFEX,IC1606.CFFEX,IC1609.CFFEX,IC1612.CFFEX
2016-05-23,2016-06-19,IC1606.CFFEX,IC1607.CFFEX,IC1609.CFFEX,IC1612.CFFEX
2016-06-20,2016-07-17,IC1607.CFFEX,IC1608.CFFEX,IC1609.CFFEX,IC1612.CFFEX
2016-07-18,2016-08-21,IC1608.CFFEX,IC1609.CFFEX,IC1612.CFFEX,IC1703.CFFEX
2016-08-22,2016-09-19,IC1609.CFFEX,IC1610.CFFEX,IC1612.CFFEX,IC1703.CFFEX
2016-09-20,2016-10-23,IC1610.CFFEX,IC1611.CFFEX,IC1612.CFFEX,IC1703.CFFEX
2016-10-24,2016-11-20,IC1611.CFFEX,IC1612.CFFEX,IC1703.CFFEX,IC1706.CFFEX
2016-11-21,2016-12-18,IC1612.CFFEX,IC1701.CFFEX,IC1703.CFFEX,IC1706.CFFEX
2016-12-19,2017-01-22,IC1701.CFFEX,IC1702.CFFEX,IC1703.CFFEX,IC1706.CFFEX
2017-01-23,2017-02-19,IC1702.CFFEX,IC1703.CFFEX,IC1706.CFFEX,IC1709.CFFEX
2017-02-20,2017-03-19,IC1703.CFFEX,IC1704.CFFEX,IC1706.CFFEX,IC1709.CFFEX
2017-03-20,2017-04-23,IC1704.CFFEX,IC1705.CFFEX,IC1706.CFFEX,IC1709.CFFEX
2017-04-24,2017-05-21,IC1705.CFFEX,IC1706.CFFEX,IC1709.CFFEX,IC1712.CFFEX
2017-05-22,2017-06-18,IC1706.CFFEX,IC1707.CFFEX,IC1709.CFFEX,IC1712.CFFEX
2017-06-19,2017-07-23,IC1707.CFFEX,IC1708.CFFEX,IC1709.CFFEX,IC1712.CFFEX
2017-07-24,2017-08-20,IC1708.CFFEX,IC1709.CFFEX,IC1712.CFFEX,IC1803.CFFEX
2017-08-21,2017-09-17,IC1709.CFFEX,IC1710.CFFEX,IC1712.CFFEX,IC1803.CFFEX
2017-09-18,2017-10-22,IC1710.CFFEX,IC1711.CFFEX,IC1712.CFFEX,IC1803.CFFEX
2017-10-23,2017-11-19,IC1711.CFFEX,IC1712.CFFEX,IC1803.CFFEX,IC1806.CFFEX
2017-11-20,2017-12-17,IC1712.CFFEX,IC1801.CFFEX,IC1803.CFFEX,IC1806.CFFEX
2017-12-18,2018-01-21,IC1801.CFFEX,IC1802.CFFEX,IC1803.CFFEX,IC1806.CFFEX
2018-01-22,2018-02-22,IC1802.CFFEX,IC1803.CFFEX,IC1806.CFFEX,IC1809.CFFEX
2018-02-23,2018-03-18,IC1803.CFFEX,IC1804.CFFEX,IC1806.CFFEX,IC1809.CFFEX
2018-03-19,2018-04-22,IC1804.CFFEX,IC1805.CFFEX,IC1806.CFFEX,IC1809.CFFEX
2018-04-23,2018-05-20,IC1805.CFFEX,IC1806.CFFEX,IC1809.CFFEX,IC1812.CFFEX
2018-05-21,2018-06-18,IC1806.CFFEX,IC1807.CFFEX,IC1809.CFFEX,IC1812.CFFEX
2018-06-19,2018-07-22,IC1807.CFFEX,IC1808.CFFEX,IC1809.CFFEX,IC1812.CFFEX
2018-07-23,2018-08-19,IC1808.CFFEX,IC1809.CFFEX,IC1812.CFFEX,IC1903.CFFEX
2018-08-20,2018-09-24,IC1809.CFFEX,IC1810.CFFEX,IC1812.CFFEX,IC1903.CFFEX
2018-09-25,2018-10-21,IC1810.CFFEX,IC1811.CFFEX,IC1812.CFFEX,IC1903.CFFEX
2018-10-22,2018-11-18,IC1811.CFFEX,IC1812.CFFEX,IC1903.CFFEX,IC1906.CFFEX
2018-11-19,2018-12-23,IC1812.CFFEX,IC1901.CFFEX,IC1903.CFFEX,IC1906.CFFEX
2018-12-24,2019-01-20,IC1901.CFFEX,IC1902.CFFEX,IC1903.CFFEX,IC1906.CFFEX
2019-01-21,2019-02-17,IC1902.CFFEX,IC1903.CFFEX,IC1906.CFFEX,IC1909.CFFEX
2019-02-18,2019-03-17,IC1903.CFFEX,IC1904.CFFEX,IC1906.CFFEX,IC1909.CFFEX
2019-03-18,2019-04-21,IC1904.CFFEX,IC1905.CFFEX,IC1906.CFFEX,IC1909.CFFEX
2019-04-22,2019-05-19,IC1905.CFFEX,IC1906.CFFEX,IC1909.CFFEX,IC1912.CFFEX
2019-05-20,2019-06-23,IC1906.CFFEX,IC1907.CFFEX,IC1909.CFFEX,IC1912.CFFEX
2019-06-24,2019-07-21,IC1907.CFFEX,IC1908.CFFEX,IC1909.CFFEX,IC1912.CFFEX
2019-07-22,2019-08-18,IC1908.CFFEX,IC1909.CFFEX,IC1912.CFFEX,IC2003.CFFEX
2019-08-19,2019-09-22,IC1909.CFFEX,IC1910.CFFEX,IC1912.CFFEX,IC2003.CFFEX
2019-09-23,2019-10-20,IC1910.CFFEX,IC1911.CFFEX,IC1912.CFFEX,IC2003.CFFEX
2019-10-21,2019-11-17,IC1911.CFFEX,IC1912.CFFEX,IC2003.CFFEX,IC2006.CFFEX
2019-11-18,2019-12-22,IC1912.CFFEX,IC2001.CFFEX,IC2003.CFFEX,IC2006.CFFEX
2019-12-23,2020-01-19,IC2001.CFFEX,IC2002.CFFEX,IC2003.CFFEX,IC2006.CFFEX
2020-01-20,2020-02-23,IC2002.CFFEX,IC2003.CFFEX,IC2006.CFFEX,IC2009.CFFEX
2020-02-24,2020-03-22,IC2003.CFFEX,IC2004.CFFEX,IC2006.CFFEX,IC2009.CFFEX
2020-03-23,2020-04-19,IC2004.CFFEX,IC2005.CFFEX,IC2006.CFFEX,IC2009.CFFEX
2020-04-20,2020-05-17,IC2005.CFFEX,IC2006.CFFEX,IC2009.CFFEX,IC2012.CFFEX
2020-05-18,2020-06-21,IC2006.CFFEX,IC2007.CFFEX,IC2009.CFFEX,IC2012.CFFEX
2020-06-22,2020-07-19,IC2007.CFFEX,IC2008.CFFEX,IC2009.CFFEX,IC2012.CFFEX
2020-07-20,2020-08-23,IC2008.CFFEX,IC2009.CFFEX,IC2012.CFFEX,
2020-08-24,2020-09-20,IC2009.CFFEX,IC2012.CFFEX,,
